ID,Outcome
1,19.49963833
2,19.90987682
3,20.56783608
4,20.35052315
5,19.92944981
6,18.93372623
7,19.05632394
8,21.42709644
9,21.83788596
10,20.54391395
11,20.35902436
12,18.52461479
13,22.28693543
14,20.24771281
15,18.33843907
16,19.65044658
17,18.67393164
18,20.62091952
19,20.16613713
20,17.64665007
21,19.19266388
22,20.29771015
23,19.63084183
24,19.31308009
25,21.275075
26,19.54379717
27,22.63704622
28,19.77455404
29,19.95837055
30,20.92270127
31,19.63973025
32,18.3128477
33,21.34374735
34,20.05040153
35,20.82749122
36,19.51431256
37,20.59931415
38,20.08267486
39,19.14082838
40,20.8344042
41,19.68278675
42,20.68604151
43,20.61551237
44,20.27676673
45,20.90087873
46,20.79930109
47,20.4692327
48,18.69002354
49,20.73705662
50,21.50658719
51,19.22422555
52,19.5268868
53,19.3497584
54,20.65961692
55,20.15364881
56,19.64845972
57,18.86712839
58,18.43965739
59,19.21743154
60,20.47004991
61,20.32939306
62,20.24888972
63,20.78433713
64,20.33773544
65,18.91254773
66,20.75419657
67,20.79864895
68,20.48539694
69,19.10274439
70,19.17225635
71,19.3591696
72,19.51121597
73,20.93100162
74,21.66396793
75,21.57057065
76,18.8153244
77,20.22091493
78,19.39232672
79,18.95985206
80,19.53721515
81,18.51149011
82,20.79835265
83,21.6684202
84,19.02569712
85,18.89461803
86,20.02247794
87,21.44049669
88,22.46771371
89,19.6117853
90,20.88467488
91,20.85121535
92,19.29924225
93,19.7760887
94,19.06073923
95,19.84880055
96,19.2580405
97,20.06738262
98,21.24986054
99,21.26172209
100,21.02663266
101,22.44283025
102,21.90095418
103,19.6373724
104,18.3623221
105,20.12027942
106,19.00152111
107,20.23069856
108,21.09271059
109,20.55420843
110,19.93427369
